Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 08/17  12:00:00,3840058721.503417,0.0,267279334.7599195,1614839557.0092962,0.0,1435412939.5638197,131999736.26373624,103908458.62284959,169714287.45862226,116904407.82517325,72906357.96329303,1353245.5822168678,71553112.38107616 
 08/17  13:00:00,4047501271.665583,0.0,278876619.44507429,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,110126730.87905082,179914663.23395605,116904407.82517325,71488945.53687279,0.0,71488945.53687279 
 08/17  14:00:00,4084890104.4257495,0.0,307672070.0407928,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,113226185.52674058,185408590.75071398,116904407.82517325,39476348.16612703,0.0,39476348.16612703 
 08/17  15:00:00,4125367914.9519879,0.0,338166665.80882319,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,117182844.77435909,191435146.26130299,116904407.82517325,47350600.73284825,0.0,47350600.73284825 
 08/17  16:00:00,4314949806.074564,0.0,342726200.9537778,1614839557.0092962,0.0,1614839557.0092962,307999384.6153846,125413676.45570982,192227022.20592649,116904407.82517325,55433803.74712897,0.0,55433803.74712897 
 08/17  17:00:00,3860656727.3929488,0.0,306385363.34876736,1255986322.1183415,0.0,1435412939.5638197,439999120.8791207,118149834.51418585,187818739.14354015,116904407.82517325,31518160.929600445,0.0,31518160.929600445 
 08/17  18:00:00,3096582169.1574718,0.0,275873813.06500849,897133087.2273873,0.0,1076559704.672864,439999120.8791207,108922641.69204483,181189393.7958729,116904407.82517325,56975158.347729358,25507081.012162053,31468077.33556731 
 08/17  19:00:00,3006355091.844696,0.0,258119234.37443883,897133087.2273873,30757200.0,1076559704.672864,351999296.7032966,103975937.22062491,170906223.82091076,116904407.82517325,142908438.550413,127166194.48140398,15742244.069009036 
 08/17  20:00:00,2606876434.7589657,0.0,250493597.13521714,538279852.336432,184543200.0,897133087.2273873,351999296.7032966,103907369.5922554,163615623.939203,116904407.82517325,375514926.5503622,351925145.2648647,23589781.285497589 
 08/17  21:00:00,2488522596.6831395,0.0,225332290.40705265,538279852.336432,184543200.0,897133087.2273873,263999472.52747248,103907369.5922554,158422916.76736606,116904407.82517325,482925058.297456,475036389.67334726,7888668.624108843 
